obra_id,obra_titulo,etiqueta,gold_n,regex_n,regex_precision,regex_recall,regex_f1,gemma_n,gemma_precision,gemma_recall,gemma_f1
alma_filipina,Alma filipina,<sp>,234,228,1.000,0.974,0.987,233,1.000,0.996,0.998
alma_filipina,Alma filipina,<speaker>,234,228,1.000,0.974,0.987,233,1.000,0.996,0.998
alma_filipina,Alma filipina,<p>,234,246,0.951,1.000,0.975,233,1.000,0.996,0.998
alma_filipina,Alma filipina,<stage>,118,73,1.000,0.619,0.764,113,1.000,0.958,0.978
alma_filipina,Alma filipina,<persName>,8,7,1.000,0.875,0.933,8,1.000,1.000,1.000
alma_filipina,Alma filipina,<div>,8,7,1.000,0.875,0.933,7,1.000,0.875,0.933
alma_filipina,Alma filipina,<person>,7,6,1.000,0.875,0.923,7,1.000,1.000,1.000
alma_filipina,Alma filipina,<castItem>,7,6,1.000,0.857,0.923,7,1.000,1.000,1.000
alma_filipina,Alma filipina,<role>,7,6,1.000,0.857,0.923,7,1.000,1.000,1.000
alma_filipina,Alma filipina,Macro,---,---,0.995,0.876,0.928,---,1.000,0.969,0.984
brumas_y_voces,Brumas y voces,<sp>,768,479,1.000,0.624,0.768,763,1.000,0.993,0.997
brumas_y_voces,Brumas y voces,<speaker>,768,479,1.000,0.624,0.768,763,1.000,0.993,0.997
brumas_y_voces,Brumas y voces,<p>,768,499,1.000,0.650,0.788,763,1.000,0.993,0.997
brumas_y_voces,Brumas y voces,<stage>,522,396,1.000,0.759,0.863,503,1.000,0.964,0.981
brumas_y_voces,Brumas y voces,<persName>,22,22,1.000,1.000,1.000,14,1.000,0.636,0.778
brumas_y_voces,Brumas y voces,<person>,22,21,1.000,1.000,1.000,13,1.000,0.619,0.765
brumas_y_voces,Brumas y voces,<div>,21,4,0.750,1.000,0.857,6,0.500,1.000,0.667
brumas_y_voces,Brumas y voces,<head>,3,4,0.750,1.000,0.857,6,0.500,1.000,0.667
brumas_y_voces,Brumas y voces,Macro,---,---,0.938,0.832,0.863,6,0.875,0.900,0.856
el_consejo_de_los_dioses,El consejo de los dioses,<sp>,32,30,1.000,0.938,0.968,32,1.000,1.000,1.000
el_consejo_de_los_dioses,El consejo de los dioses,<speaker>,32,30,1.000,0.938,0.968,32,1.000,1.000,1.000
el_consejo_de_los_dioses,El consejo de los dioses,<p>,35,31,1.000,0.886,0.939,33,1.000,0.943,0.971
el_consejo_de_los_dioses,El consejo de los dioses,<stage>,42,40,1.000,0.952,0.976,36,1.000,0.857,0.923
el_consejo_de_los_dioses,El consejo de los dioses,<persName>,15,12,1.000,0.800,0.889,16,0.938,1.000,0.968
el_consejo_de_los_dioses,El consejo de los dioses,<person>,13,11,1.000,0.846,0.917,14,0.929,1.000,0.963
el_consejo_de_los_dioses,El consejo de los dioses,<div>,4,3,1.000,0.750,0.857,3,1.000,0.750,0.857
el_consejo_de_los_dioses,El consejo de los dioses,<head>,3,3,1.000,1.000,1.000,3,1.000,1.000,1.000
el_consejo_de_los_dioses,El consejo de los dioses,Macro,—,—,1.000,0.889,0.939,—,0.983,0.944,0.960
filipinas_auto_historico,Filipinas. Auto histórico sacramental,<sp>,167,0,0.000,0.000,0.000,166,1.000,0.994,0.997
filipinas_auto_historico,Filipinas. Auto histórico sacramental,<speaker>,167,0,0.000,0.000,0.000,166,1.000,0.994,0.997
filipinas_auto_historico,Filipinas. Auto histórico sacramental,<p>,167,4,1.000,0.024,0.047,166,1.000,0.994,0.997
filipinas_auto_historico,Filipinas. Auto histórico sacramental,<stage>,36,387,0.093,1.000,0.170,38,0.947,1.000,0.973
filipinas_auto_historico,Filipinas. Auto histórico sacramental,<persName>,5,1,1.000,0.200,0.333,5,1.000,1.000,1.000
filipinas_auto_historico,Filipinas. Auto histórico sacramental,<person>,4,0,0.000,0.000,0.000,4,1.000,1.000,1.000
filipinas_auto_historico,Filipinas. Auto histórico sacramental,<castItem>,4,0,0.000,0.000,0.000,4,1.000,1.000,1.000
filipinas_auto_historico,Filipinas. Auto histórico sacramental,<role>,4,0,0.000,0.000,0.000,4,1.000,1.000,1.000
filipinas_auto_historico,Filipinas. Auto histórico sacramental,<actor>,4,0,0.000,0.000,0.000,0,0.000,0.000,0.000
filipinas_auto_historico,Filipinas. Auto histórico sacramental,Macro,—,—,0.190,0.111,0.050,—,0.904,0.862,0.876
filipinizad_a_los_filipinos,Filipinizad a los filipinos,<sp>,440,440,1.000,1.000,1.000,598,0.736,1.000,0.848
filipinizad_a_los_filipinos,Filipinizad a los filipinos,<speaker>,440,440,1.000,1.000,1.000,598,0.736,1.000,0.848
filipinizad_a_los_filipinos,Filipinizad a los filipinos,<p>,440,440,1.000,1.000,1.000,598,0.736,1.000,0.848
filipinizad_a_los_filipinos,Filipinizad a los filipinos,<stage>,32,38,0.842,1.000,0.914,48,0.667,1.000,0.800
filipinizad_a_los_filipinos,Filipinizad a los filipinos,<persName>,11,15,0.733,1.000,0.846,11,1.000,1.000,1.000
filipinizad_a_los_filipinos,Filipinizad a los filipinos,<person>,10,14,0.714,1.000,0.833,10,1.000,1.000,1.000
filipinizad_a_los_filipinos,Filipinizad a los filipinos,<castItem>,10,14,0.714,1.000,0.833,0,0.000,0.000,0.000
filipinizad_a_los_filipinos,Filipinizad a los filipinos,<role>,10,14,0.714,1.000,0.833,0,0.000,0.000,0.000
filipinizad_a_los_filipinos,Filipinizad a los filipinos,<l>,12,0,0.000,0.000,0.000,0,0.000,0.000,0.000
filipinizad_a_los_filipinos,Filipinizad a los filipinos,<lg>,3,0,0.000,0.000,0.000,0,0.000,0.000,0.000
filipinizad_a_los_filipinos,Filipinizad a los filipinos,MACRO,—,—,0.727,0.794,0.749,—,0.529,0.667,0.587
solo_entre_las_sombras,Solo entre las sombras,<sp>,262,207,1.000,0.790,0.883,262,1.000,1.000,1.000
solo_entre_las_sombras,Solo entre las sombras,<speaker>,262,207,1.000,0.790,0.883,262,1.000,1.000,1.000
solo_entre_las_sombras,Solo entre las sombras,<p>,262,216,1.000,0.824,0.904,262,1.000,1.000,1.000
solo_entre_las_sombras,Solo entre las sombras,<stage>,120,95,1.000,0.792,0.884,109,1.000,0.908,0.952
solo_entre_las_sombras,Solo entre las sombras,<div>,14,10,1.000,0.714,0.833,14,1.000,1.000,1.000
