Etiqueta,Gold,R (n),R-P,R-R,R-F1,G (n),G-P,G-R,G-F1
<sp>,234,228,1.000,0.974,0.987,233,1.000,0.996,0.998
<speaker>,234,228,1.000,0.974,0.987,233,1.000,0.996,0.998
<p>,234,246,0.951,1.000,0.975,233,1.000,0.996,0.998
<stage>,118,73,1.000,0.619,0.764,113,1.000,0.958,0.978
<persName>,8,7,1.000,0.875,0.933,8,1.000,1.000,1.000
<div>,8,7,1.000,0.875,0.933,7,1.000,0.875,0.933
<person>,7,6,1.000,0.875,0.923,7,1.000,1.000,1.000
<castItem>,7,6,1.000,0.857,0.923,7,1.000,1.000,1.000
<role>,7,6,1.000,0.857,0.923,7,1.000,1.000,1.000
Macro,---,---,0.995,0.876,0.928,---,1.000,0.969,0.984
