Etiqueta,Gold,R (n),R-P,R-R,R-F1,G (n),G-P,G-R,G-F1
<sp>,167,0,0.000,0.000,0.000,166,1.000,0.994,0.997
<speaker>,167,0,0.000,0.000,0.000,166,1.000,0.994,0.997
<p>,167,4,1.000,0.024,0.047,166,1.000,0.994,0.997
<stage>,36,387,0.093,1.000,0.170,38,0.947,1.000,0.973
<persName>,5,1,1.000,0.200,0.333,5,1.000,1.000,1.000
<person>,4,0,0.000,0.000,0.000,4,1.000,1.000,1.000
<castItem>,4,0,0.000,0.000,0.000,4,1.000,1.000,1.000
<role>,4,0,0.000,0.000,0.000,4,1.000,1.000,1.000
<actor>,4,0,0.000,0.000,0.000,0,0.000,0.000,0.000
Macro,—,—,0.190,0.111,0.050,—,0.904,0.862,0.876
