Etiqueta,Gold,R (n),R-P,R-R,R-F1,G (n),G-P,G-R,G-F1
<sp>,440,440,1.000,1.000,1.000,598,0.736,1.000,0.848
<speaker>,440,440,1.000,1.000,1.000,598,0.736,1.000,0.848
<p>,440,440,1.000,1.000,1.000,598,0.736,1.000,0.848
<stage>,32,38,0.842,1.000,0.914,48,0.667,1.000,0.800
<persName>,11,15,0.733,1.000,0.846,11,1.000,1.000,1.000
<person>,10,14,0.714,1.000,0.833,10,1.000,1.000,1.000
<castItem>,10,14,0.714,1.000,0.833,0,0.000,0.000,0.000
<role>,10,14,0.714,1.000,0.833,0,0.000,0.000,0.000
<l>,12,0,0.000,0.000,0.000,0,0.000,0.000,0.000
<lg>,3,0,0.000,0.000,0.000,0,0.000,0.000,0.000
MACRO,—,—,0.727,0.794,0.749,—,0.529,0.667,0.587
