Etiqueta,Gold,R (n),R-P,R-R,R-F1,G (n),G-P,G-R,G-F1
<sp>,578,331,1.000,0.573,0.728,578,1.000,1.000,1.000
<speaker>,578,331,1.000,0.573,0.728,578,1.000,1.000,1.000
<p>,578,517,1.000,0.894,0.944,578,1.000,1.000,1.000
<stage>,311,273,1.000,0.878,0.935,311,1.000,1.000,1.000
<castItem>,15,1,1.000,0.067,0.125,15,1.000,1.000,1.000
<role>,15,1,1.000,0.067,0.125,15,1.000,1.000,1.000
<roleDesc>,8,0,0.000,0.000,0.000,15,0.533,1.000,0.696
<person>,14,1,1.000,0.071,0.133,15,0.933,1.000,0.966
<personGrp>,1,0,0.000,0.000,0.000,0,0.000,0.000,0.000
<persName>,16,2,1.000,0.125,0.222,16,1.000,1.000,1.000
<div>,—,—,—,—,—,—,—,—,—
<head>,—,—,—,—,—,—,—,—,—
MACRO,—,—,0.600,0.294,0.362,—,0.891,0.927,0.902
