Etiqueta,Gold,R (n),R-P,R-R,R-F1,G (n),G-P,G-R,G-F1
<sp>,278,268,1.000,0.964,0.982,279,0.996,1.000,0.998
<speaker>,278,268,1.000,0.964,0.982,279,0.996,1.000,0.998
<p>,928,0,0.000,0.000,0.000,0,0.000,0.000,0.000
<stage>,278,0,0.000,0.000,0.000,0,0.000,0.000,0.000
<castItem>,0,363,0.000,0.000,0.000,279,0.000,0.000,0.000
<role>,71,69,1.000,0.972,0.986,73,0.973,1.000,0.986
<roleDesc>,5,3,1.000,0.600,0.750,5,1.000,1.000,1.000
<person>,5,3,1.000,0.600,0.750,5,1.000,1.000,1.000
<personGrp>,5,0,0.000,0.000,0.000,5,1.000,1.000,1.000
<persName>,5,3,1.000,0.600,0.750,5,1.000,1.000,1.000
