Etiqueta,Gold,R (n),R-P,R-R,R-F1,G (n),G-P,G-R,G-F1
<sp>,265,1,1.000,0.004,0.008,266,0.996,1.000,0.998
<speaker>,264,1,1.000,0.004,0.008,266,0.992,1.000,0.996
<p>,283,6,1.000,0.021,0.042,266,1.000,0.940,0.969
<stage>,102,872,0.117,1.000,0.209,82,1.000,0.804,0.891
<castItem>,29,2,1.000,0.069,0.129,20,1.000,0.690,0.816
<role>,29,2,1.000,0.069,0.129,20,1.000,0.690,0.816
<roleDesc>,4,0,0.000,0.000,0.000,20,0.200,1.000,0.333
<person>,22,2,1.000,0.091,0.167,20,1.000,0.909,0.952
<personGrp>,7,0,0.000,0.000,0.000,0,0.000,0.000,0.000
<persName>,31,3,1.000,0.097,0.176,21,1.000,0.677,0.808
<div>,20,16,1.000,0.800,0.889,17,1.000,0.850,0.919
<head>,17,15,1.000,0.882,0.938,17,1.000,1.000,1.000
MACRO,—,—,0.536,0.215,0.154,—,0.631,0.596,0.592
