Etiqueta,Gold,R (n),R-P,R-R,R-F1,G (n),G-P,G-R,G-F1
<sp>,262,207,1.000,0.790,0.883,262,1.000,1.000,1.000
<speaker>,262,207,1.000,0.790,0.883,262,1.000,1.000,1.000
<p>,262,216,1.000,0.824,0.904,262,1.000,1.000,1.000
<stage>,120,95,1.000,0.792,0.884,109,1.000,0.908,0.952
<div>,14,10,1.000,0.714,0.833,14,1.000,1.000,1.000
<head>,14,10,1.000,0.714,0.833,14,1.000,1.000,1.000
<persName>,11,7,1.000,0.636,0.778,6,1.000,0.545,0.706
<person>,5,6,0.833,1.000,0.909,5,1.000,1.000,1.000
<castItem>,5,6,0.833,1.000,0.909,5,1.000,1.000,1.000
<role>,5,6,0.833,1.000,0.909,5,1.000,1.000,1.000
<roleDesc>,5,0,0.000,0.000,0.000,5,1.000,1.000,1.000
MACRO,—,—,0.864,0.751,0.793,—,1.000,0.950,0.969
